"Credit Memo #","Gutschrift #",module
"Credit Memo Date","Gutschriftdatum",module
"Order # :","Bestellung # :",module
"Back in Stock Subscriptions","Produktbenachrichtigungen",module
"Enter keywords to search...","Geben Sie einen Suchbegriff ein",module
"Rating","Bewertung",module
"I recommend this product","Ich empfehle dieses Produkt",module
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Bestimmungsort ein, umein Versandangebot zu erhalten",module
"Best Sellers","Bestseller",module
"Reviews Count","Bewertungen",module
"Price: low to high","Preis: niedrig bis hoch",module
"Price: high to low","Preis: hoch zu niedrig ",module
"Biggest Saving","Größter Rabatt",module
"Top Rated","Bestbewertet",module
"My Back in Stock Subscriptions","Meine produkt benachrichtigungen",module
"Write a review","Bewertung schreiben",module
"Share your thoughts with other customers","Teilen Sie lhre Gedanken mit anderen Kunden",module
"people found this helpful","Personen fanden das hilfreich",module
"Was this review helpful?","War diese Kritik hilfreich?",module
"Response from store","Antwort von Moquer",module
"Details","Einzelheiten",module
"Your email address","Ihre E-Mail-Adresse",module
"of customers recommend this product","der Kunden empfehlen dieses Produkt",module
"reviews","Bewertung(en)",module,Magento_Review
"Ship here","Lieferadresse bestätigen",module
"View Cart","warenkorb anzeigen",module
"Item was removed successfully.","Artikel wurde erfolgreich entfernt.",module
"Great trial sizes and styling tools","Extras und Zubehör",module
"Dear","Sehr geehrter",module
"Welcome to %store_name.","Wilkomme bei %store_name.",module
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"" style=""color:#ffffff;"">My Account</a> page:","Verwenden Sie diese Anmeldeinformationen beim Auschecken oder auf der <a href=""%customer_url"" style=""color:#ffffff;"">Kontoseite</a>, um sich auf unserer Website anzumelden:",,
"Email:","E-Mail:",module
"Password:","Passwort:",module
"Password you set when creating account","Passwort, das Sie beim Erstellen des Kontos festgelegt haben",,
"Forgot your account password? Click <a href=""%reset_url"" style=""color:#114745;"">here</a> to reset it.","Haben Sie Ihr Passwort vergessen? Klicken Sie <a href=""%reset_url"" style=""color:#114745;"">hier</a> um es zurückzusetzen.",,
"When you sign in to your account, you will be able to:","Wenn Sie sich in Ihrem Konto anmelden, können Sie:",module
"Proceed through checkout faster","Schneller durch die Kasse gehen",module
"Check the status of orders","Überprüfen den Status von Ihre Bestellungen",module
"View past orders","Frühere Bestellungen anzeigen",module
"Store alternative addresses (for shipping to multiple family members and friends)","Speichern Sie alternative Adressen (für den Versand an mehrere Familienmitglieder und Freunde)",module
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Sie müssen Ihre E-Mail-Adresse %customer_email bestätigen, bevor Sie sich anmelden können (Link ist nur einmal gültig):",,
"Confirm Your Account","Bestätigen Sie ihr Konto",,
"Thank you for confirming your %store_name account.","Vielen Dank für die Bestätigung Ihres %store_name Kontos.",,
